OBJECTID,agency,comments,latest,gisacres,incidentname,localincidentidentifier,state,pooresponsibleunit,perimeterdatetime,incomplex,fireyear,uniquefireidentifier,active,complexname,mapmethod,shape__Area,shape__Length
33,unknown,Perimeter Date Unknown,N,19.24916867,Fish,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,161404.96875,1507.12918297693
34,unknown,Perimeter Date Unknown,N,18.04180508,Flat Creek,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Flat Creek Complex,GPS-Unknown Travel Method,158316.2890625,1698.08300649101
35,unknown,,N,313.32180469,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,2242880.23828125,7060.44730944685
36,unknown,,N,23520.3737675,Cherry Fire,X354,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X354,N,,GPS-Unknown Travel Method,170477364.175781,109353.363511559
37,unknown,Perimeter Date Unknown,N,19354.37463284,Three Bears,,ID,IDNPF,12/31/2000 12:00:00 AM,,2000,2000-IDNPF,N,,GPS-Unknown Travel Method,159606397.804688,106596.829387062
38,unknown,Perimeter Date Unknown,N,120.20735028,Flossie,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Flossie Complex,GPS-Unknown Travel Method,990510.3125,4975.41515010792
39,CDF,No entry in FireCode,Y,8283.98624949,Weinstein,000165,CA,,9/29/2000 12:00:00 AM,,2000,2000-CA-000165,N,,Unknown,57042903.8359375,56168.8924310148
40,unknown,Perimeter Date Unknown,N,836.82578899,Shellrock,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,6783983.8671875,15775.2077451924
41,unknown,Perimeter Date Unknown,N,6.76970943,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,54961.046875,931.36106165099
42,unknown,Perimeter Date Unknown,N,0.11399869,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,925.5234375,135.300086988988
43,unknown,Perimeter Date Unknown,N,0.00535272,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,43.4453125,32.6293075963003
44,unknown,Perimeter Date Unknown,Y,124064.23913031,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,1009039617.46875,257008.382821515
45,unknown,,N,28.71419297,South Willow Fire,X394,NV,NVWID,8/13/2000 12:00:00 AM,,2000,2000-NVWID-X394,N,,GPS-Unknown Travel Method,201468.2578125,2375.3974034818
46,unknown,,N,30.25701248,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,216435.7578125,2398.68235566097
47,unknown,Perimeter Date Unknown,N,2749.39782995,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,22257522.5625,27124.9277068847
48,unknown,Perimeter Date Unknown,N,6452.86489751,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,52282035.640625,45653.5120938846
49,unknown,Perimeter Date Unknown,N,52.5511,Flat Creek,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Flat Creek Complex,GPS-Unknown Travel Method,460701.75,3405.78873247682
50,unknown,Perimeter Date Unknown,N,0.78045637,Flat Creek,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Flat Creek Complex,GPS-Unknown Travel Method,6849.90625,334.711009471291
51,unknown,Perimeter Date Unknown,N,2684.08551515,Alpine,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Upper Nine Mile Complex,GPS-Unknown Travel Method,23518824.7421875,26933.8011103509
52,BLM,Perimeter Date Unknown,N,28906.16885414,Tango Creek,008114,AK,AKAFS,12/31/2000 12:00:00 AM,,2000,2000-AKAFS-008114,N,,Unknown,598487020.140625,293203.475200349
53,unknown,Perimeter Date Unknown,N,36225.13485448,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,294862612.492188,108384.686432263
54,unknown,Perimeter Date Unknown,N,2131.71724257,Alpine,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Upper Nine Mile Complex,GPS-Unknown Travel Method,18680105.3515625,23953.2056805772
55,unknown,Perimeter Date Unknown,N,69.61213561,O'Brien,,MT,MTKNF,12/31/2000 12:00:00 AM,Y,2000,2000-MTKNF,N,Troy South,GPS-Unknown Travel Method,584486.5859375,2858.13454317278
56,unknown,Perimeter Date Unknown,N,69.5993669,O'Brien,,MT,MTKNF,12/31/2000 12:00:00 AM,Y,2000,2000-MTKNF,N,Troy South,GPS-Unknown Travel Method,584381.046875,2857.85510581872
57,BLM,Perimeter Date Unknown,Y,68.55187348,Goslin,R806,UT,UTVLD,12/31/2000 12:00:00 AM,,2000,2000-UTVLD-R806,N,,Unknown,486837.546875,6185.83932744044
58,BLM,Perimeter Date Unknown,Y,17.93523578,Sand Springs,R154,UT,UTSLD,12/31/2000 12:00:00 AM,,2000,2000-UTSLD-R154,N,,Unknown,125024.01953125,2816.7128078476
59,unknown,Perimeter Date Unknown,N,38.96621919,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,316787.9921875,3237.29568002917
60,unknown,,N,39.47230542,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,282731.3046875,2127.38066746445
61,unknown,Perimeter Date Unknown,N,4638.83360057,Filly,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,38163997.953125,33504.9228611794
62,CDF,No entry in FireCode,N,330.59211327,Success,000106,CA,,7/9/2000 12:00:00 AM,,2000,2000-CA-000106,N,,Unknown,2053151.3203125,5793.58771185014
63,unknown,Perimeter Date Unknown,Y,12957.16474807,Butts,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,106182844.804688,49529.8354985706
64,unknown,Perimeter Date Unknown,N,2745.41593088,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,22302590.2109375,26816.5826524785
65,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,10560.08751905,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Skalkaho Complex,GPS-Unknown Travel Method,88858827.2109375,54527.229572748
66,unknown,Perimeter Date Unknown,N,16.15379697,Mussigbrod,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,134854.921875,1370.71091605618
67,BLM,Perimeter Date Unknown,Y,3598.89797486,Sweet Water,R908,UT,UTVLD,12/31/2000 12:00:00 AM,,2000,2000-UTVLD-R908,N,,Unknown,24570373.4492188,43041.5538236071
68,BLM,,Y,34.88223257,Ferguson Fire,Q938,NV,NVBMD,6/26/2000 12:00:00 AM,,2000,2000-NVBMD-Q938,N,,Unknown,238664.45703125,2284.78976807411
69,unknown,Perimeter Date Unknown,N,1260.70170258,Mussigbrod,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,10545305.8046875,16721.2095483578
70,CDF,No entry in FireCode,Y,89.27041989,Louie,001763,CA,,6/4/2000 12:00:00 AM,,2000,2000-CA-001763,N,,Unknown,645511.953125,5231.33337746979
71,BLM,Perimeter Date Unknown,Y,452.23684037,Sodium,T787,WY,WYCAD,12/31/2000 12:00:00 AM,,2000,2000-WYCAD-T787,N,,GPS-Unknown Travel Method,3427773.15234375,13509.5793233037
72,unknown,,N,49.84792641,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,356810.79296875,2520.94917984633
73,unknown,Perimeter Date Unknown,N,5756.48502104,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,50131207.0625,58263.1210319188
74,BLM,Perimeter Date Unknown,Y,171.43115364,Chokecherry,Q058,UT,UTSLD,12/31/2000 12:00:00 AM,,2000,2000-UTSLD-Q058,N,,Unknown,1239313.7265625,10731.1664723864
75,unknown,Perimeter Date Unknown,N,8176.08428061,Flat Creek,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Flat Creek Complex,GPS-Unknown Travel Method,71692753.3828125,48025.2240859095
76,unknown,Perimeter Date Unknown,Y,12.50626775,Cunningham,W217,UT,,12/31/2000 12:00:00 AM,,2000,2000-UT-W217,N,,GPS-Unknown Travel Method,82702.15234375,1410.09584117429
77,BLM,Perimeter Date Unknown,Y,9806.43959851,Countyline,T824,WY,WYCAD,12/31/2000 12:00:00 AM,,2000,2000-WYCAD-T824,N,,GPS-Unknown Travel Method,71150088.3515625,107165.767859197
78,unknown,Perimeter Date Unknown,N,127572.76498147,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,1039600753.77344,299787.870357189
79,CDF,No entry in FireCode,Y,487.25092156,Larkin,000208,CA,,6/13/2000 12:00:00 AM,,2000,2000-CA-000208,N,,Unknown,3314679.66796875,13096.4244728955
80,BLM,,Y,13.43932357,Firebird,F070,ID,IDBOD,8/1/2000 12:00:00 AM,,2000,2000-IDBOD-F070,N,,GPS-Unknown Travel Method,104282.6796875,1530.05378631325
81,unknown,Perimeter Date Unknown,N,127572.76498147,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,1039600753.77344,299787.870357189
82,NPS,No entry in FireCode,Y,11.03944333,Pt Bonita,000035,CA,,10/22/2000 12:00:00 AM,,2000,2000-CA-000035,N,,Unknown,71722.078125,1224.67377711294
83,BLM,No entry in FireCode,Y,10.03198484,Pintado,E034,CO,COWRD,1/1/2000 12:00:00 AM,,2000,2000-COWRD-E034,N,,Unknown,69384.51171875,1434.8183702453
84,BLM,,Y,651.9626771,Fisher,R621,UT,UTMOD,5/28/2000 12:00:00 AM,,2000,2000-UTMOD-R621,N,,Unknown,4335065.18359375,14571.1693911572
85,unknown,,N,33.13321415,Prince Fire,X355,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X355,N,,GPS-Unknown Travel Method,232916.70703125,1879.67021398608
86,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,234.27059762,,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,1922085.625,5702.96787294994
87,unknown,Perimeter Date Unknown,N,69.91319974,Snake Cr,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,582819.2734375,2806.55322624269
88,BLM,Perimeter Date Unknown,Y,5951.71380195,Dead Horse,T788,WY,WYCAD,12/31/2000 12:00:00 AM,,2000,2000-WYCAD-T788,N,,GPS-Unknown Travel Method,44646299.203125,34023.432220312
89,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,234.27059762,,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,1922085.625,5702.96787294994
90,unknown,,N,24.7785401,Keystone Fire,X378,NV,,8/1/2000 12:00:00 AM,,2000,2000-NV-X378,N,,GPS-Unknown Travel Method,175781.26171875,1967.24664974763
91,unknown,Perimeter Date Unknown,N,0.46811596,Cougar,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Skalkaho Complex,GPS-Unknown Travel Method,3935.1796875,257.573730379915
92,unknown,Perimeter Date Unknown,N,1.8050534,Cougar,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Skalkaho Complex,GPS-Unknown Travel Method,15170.3359375,480.075420513043
93,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,234.27059762,,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,1922085.625,5702.96787294994
94,unknown,Perimeter Date Unknown,N,81700.91531932,Dry Creek,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,690208361.648438,201891.356499707
95,unknown,Perimeter Date Unknown,N,127572.76561401,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,1039600758.875,299787.870522562
96,unknown,Perimeter Date Unknown,N,4245.93876778,Alder,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,36163490.1640625,31199.7608992198
97,unknown,Perimeter Date Unknown,N,57.72744343,Alder,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,491740.0546875,3506.8406072155
98,unknown,Perimeter Date Unknown,N,3751.21753041,Alder,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,31949011.5546875,27285.4069158334
99,unknown,Perimeter Date Unknown,N,3254.8549746,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,26662169.640625,30358.7249167788
100,unknown,Perimeter Date Unknown,N,2534.76318838,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,20656846.4140625,33206.3207829641
101,unknown,,N,92.84363423,Jungo Complex,X379,NV,,8/2/2000 12:00:00 AM,,2000,2000-NV-X379,N,,GPS-Unknown Travel Method,659991.23046875,4085.44873391351
102,unknown,,N,31.15139533,Jungo Complex,X379,NV,,8/2/2000 12:00:00 AM,,2000,2000-NV-X379,N,,GPS-Unknown Travel Method,221453.29296875,1871.26805814824
103,unknown,,N,0.55539668,Pronto Fire,X380,NV,,8/2/2000 12:00:00 AM,,2000,2000-NV-X380,N,,GPS-Unknown Travel Method,3943.28125,326.546159760957
104,unknown,Perimeter Date Unknown,N,2847.01380436,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,23129128.34375,32507.3382913746
105,unknown,,N,246.26695888,Gregg Canyon Fire,X359,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X359,N,,GPS-Unknown Travel Method,1736668.421875,5856.77524586954
106,unknown,Perimeter Date Unknown,N,2847.01380436,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,23129128.34375,32507.3382913746
107,unknown,Perimeter Date Unknown,N,39.5209348,Alder,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,336644.8515625,2555.41457743111
108,unknown,,Y,5838.01185689,Rabbit,,NV,,8/12/2000 12:00:00 AM,,2000,2000-NV,N,,GPS-Unknown Travel Method,40589138.0390625,106330.143688286
109,unknown,Perimeter Date Unknown,N,1113.5850392,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,9115532.3515625,19790.136511908
110,unknown,Perimeter Date Unknown,N,880.03135196,Echo,,ID,,12/31/2000 12:00:00 AM,Y,2000,2000-ID,N,Wilderness Complex,GPS-Unknown Travel Method,7325790.9375,15312.1493087806
111,unknown,Perimeter Date Unknown,N,4.16172335,Alder,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,35455.34375,697.804044764982
112,unknown,Perimeter Date Unknown,N,5517.7817614,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,48051271.1171875,52151.2644923504
113,unknown,Perimeter Date Unknown,N,2.25265152,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,19618.6171875,543.186761762497
114,unknown,Perimeter Date Unknown,N,127572.76561401,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,1039600758.875,299787.870522562
115,Unknown,No entry in FireCode,Y,344.87732549,South Grizzly,V695,CO,,7/29/2000 12:00:00 AM,,2000,2000-CO-V695,N,,Digitized-Other,2360430.234375,7219.53196852088
116,unknown,,N,3.999067,Jungo Complex,X379,NV,,8/2/2000 12:00:00 AM,,2000,2000-NV-X379,N,,GPS-Unknown Travel Method,28469.50390625,811.208226408286
117,BLM,,Y,7.81410315,Mp70 Hwy78,F063,ID,IDBOD,7/23/2000 12:00:00 AM,,2000,2000-IDBOD-F063,N,,GPS-Unknown Travel Method,59002.42578125,1992.89611497144
118,unknown,Perimeter Date Unknown,Y,42.37684142,Torino,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,370891.0703125,2736.99864157192
119,unknown,Perimeter Date Unknown,N,17.69185876,Thompson Peak,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,154889.84375,2429.44052945343
120,unknown,Perimeter Date Unknown,N,127572.76561401,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,1039600758.875,299787.870522562
121,unknown,Perimeter Date Unknown,N,5660.3656345,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,49294449.2734375,57538.7404548155
122,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,3935.15847122,,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,32793841.1875,33002.6184396332
123,unknown,Perimeter Date Unknown,N,0.86209112,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,7501.15625,359.62999559352
124,unknown,Perimeter Date Unknown,N,127572.76561401,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,1039600758.875,299787.870522562
125,unknown,,N,0.08628343,Keystone Fire,X378,NV,,8/1/2000 12:00:00 AM,,2000,2000-NV-X378,N,,GPS-Unknown Travel Method,611.8046875,126.120911915607
126,unknown,Perimeter Date Unknown,N,0.10842136,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,944.171875,161.925575238491
127,unknown,Perimeter Date Unknown,N,9.587348,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,83527.609375,1214.94009997414
128,unknown,Perimeter Date Unknown,N,3496.35537829,Filly,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,28772501.9609375,25893.6809735419
129,unknown,Perimeter Date Unknown,N,1303.82299982,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,10538193.328125,15827.1943610274
130,BLM,Perimeter Date Unknown,Y,122.02282255,Boat,T799,WY,WYCAD,12/31/2000 12:00:00 AM,,2000,2000-WYCAD-T799,N,,GPS-Unknown Travel Method,928006.08203125,8141.5826540283
131,BLM,,Y,6.7058901,Buffalo Creek,T151,WY,WYWOD,7/27/2000 12:00:00 AM,,2000,2000-WYWOD-T151,N,,Digitized-Other,52149.078125,1256.78122464649
132,unknown,Perimeter Date Unknown,N,148.62049648,Echo,,ID,,12/31/2000 12:00:00 AM,Y,2000,2000-ID,N,Wilderness Complex,GPS-Unknown Travel Method,1237437.5078125,4159.4840420805
